"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/all_section_screen.dart", "Dart", 10, 0, 3, 13
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/body.dart", "Dart", 150, 14, 13, 177
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/build_body.dart", "Dart", 70, 5, 8, 83
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/header_phone.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/section_widget.dart", "Dart", 170, 2, 6, 178
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/simmer/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/simmer/section_shwimar.dart", "Dart", 138, 0, 6, 144
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section/components/small_list.dart", "Dart", 27, 10, 4, 41
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/body.dart", "Dart", 118, 2, 7, 127
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/build_body.dart", "Dart", 84, 1, 7, 92
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/header.dart", "Dart", 69, 0, 4, 73
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/section_widget.dart", "Dart", 62, 0, 5, 67
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/simmer/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/simmer/section_shwimar.dart", "Dart", 47, 0, 4, 51
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/components/small_list.dart", "Dart", 43, 1, 6, 50
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/section_list/section_list_screen.dart", "Dart", 40, 0, 5, 45
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/all_songs_screen.dart", "Dart", 10, 0, 3, 13
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/body.dart", "Dart", 162, 19, 14, 195
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/build_body.dart", "Dart", 67, 1, 8, 76
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/filter_chips.dart", "Dart", 105, 0, 6, 111
